,content,,,,,,,,
321,재미있네요 강추,,,,,,,,
322,여배우의 연기가 너무 리얼함 하나도 어색하지가 않아..덜덜덜,,,,,,,,
323,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
324,신선한 소재가 무척 흥미로웠고 다큐프로같은느낌이라서 더 리얼했음..,,,,,,,,
325,영화관에 나랑 여친 딱 두명.. 둘만 있어도 안무섭더라..에휴,,,,,,,,
326,알바 웨이브 .jpg,,,,,,,,
327,별10개중...5개... 비디오 꺼리도 안되는듯...무서운장면 광고에서 나온게 다임,,,,,,,,
328,후반으로 갈수록 영~~ 급하게 마무리지는 느낌.,,,,,,,,
329,평점7점대인 라스트엑소시즘보단 평점 5점대인 무법자가 더재밌었다.,,,,,,,,
330,중반까지가 수면제인 1인칭 리얼다큐형식,,,,,,,,
331,이영화는 공포만을 보여주는게 아니었다.,,,,,,,,
