,content,,,,,,,,,,,
144,귀신따위 개나주라는 상남자라고 자부하던세월날아오는 팝콘에도 놀라는 쫄보라는걸 28년만에처음 깨달았네요,,,,,,,,,,,
145,저 응급실이네요 이제 깨어났네요심정지와서요,,,,,,,,,,,
146,진짜 알바아니고 리얼 후기임 동성친구랑 갔다가 둘이 손잡고 봄ㅠㅠ,,,,,,,,,,,
147,솔직히 컨져링 시리즈의 성공으로 엄청난기대를 가지고 관람했지만   ㅠ솔직히 안보는게 나았다는생각이...눈만 버렷네요  너무실망스러워요,,,,,,,,,,,
148,영화보고 욕이늘었습니다 자동깜놀 욕발사 그리고입벌리고 있으면 자동으로 앞뒤옆에 팝콘들 입으로 날아들어옴,,,,,,,,,,,
149,진짜로 제 댓글 믿으세요 진짜 제 인생 쓰레기영화 탑1입니다. 무섭다고 지렸다고 팝콘쏟았다는새끼들 최소 미취학아동이거나 진짜 바람부는 소리만 들어도 오줌 지려버리는 병에걸린사람이 아니고서는...설명이안됨 대체 얼마를...,,,,,,,,,,,
150,너무무서워서 친구네 집가서 자려구요2층 침대에선 앞으로 못자겟네요,,,,,,,,,,,
151,여태 봤던 공포영화중 단연 최고.초반엔 왠일로 잠잠하나 했더니 역시나 뒤통수를...개인적으로 가장 무서웠던 장면은 활짝 웃는 재니스,,,,,,,,,,,
152,결말 진짜 개허무해 현실적 일지는 몰라도 재니스만 짠내났다 이부는 일부를 위한 단순한 베이스역할 컨저링 투보다두 지루,,,,,,,,,,,
153,알바들 왤케 많냐 한 6점짜리 영환데 너무 고평가 돼있어서 1점준다,,,,,,,,,,,
154,기저귀 차고가세요....,,,,,,,,,,,
155,보다가 계속 갑툭튀나와서 토나올뻔했어요 진짜 완전 무서워요 ㅠㅠ 애나벨1보다 뭔가 내용도 소름이돋고 마지막에 비하인드 영상 짧지만 있어요 보고가세요,,,,,,,,,,,
156,음... 뭐랄까... 그냥저냥 볼만했던거 같음. 평소 공포 장르를 즐기는 타입은 아닌데,,,,,,,,,,,
157,평점알바가 진짜많다는걸 다시느끼게해준 영화,,,,,,,,,,,
158,무서운정도는 컨저링이랑 비슷 재밌게보고왔어요,,,,,,,,,,,
159,와.. 제가 왠만해서 공포영화 봐도 뒤에 여운이 안남는데 이거는 지금도 무서워서 심장 덜덜덜 떨림 컨저링보다 더 무서운듯 애나벨 3또 언제 기다리나요ㅠ,,,,,,,,,,,
160,초반부터 중간중간 놀래키는 장면이 많아서 전 아주 재밌게 봤어요 ㅋㅋ 개인적으로 1보다 좀 더 잔인한 장면이 많은듯하네요..,,,,,,,,,,,
161,무조건 영화관 가서 보세요.. 소리와 함께 보셔야 됩니다..,,,,,,,,,,,
162,엑소시즘이라는 공포영화의 단골 소재와 좋은 연출이 만나 만들어진 수작. 후반부의 긴장감은 초반에 비해 다소 미약하지만,,,,,,,,,,,
163,엔딩크레딧 올라가고 첫번째 쿠키영상이 나올 때 여자분이 뭐 나올것 같다며 의자에 얼굴을 파묻은뒤 서둘러 내려가다가 바닥에 엎어지셨다...,,,,,,,,,,,
164,하하. . 오줌쌋다. .ㅋ,,,,,,,,,,,
165,꼬마들이 아주커엽네요..,,,,,,,,,,,
166,역시 기대를 저버리지 않는 애나벨스토리없는 전개는 여전하고트레일러만 거창했던영화,,,,,,,,,,,
167,댓글에 속은 일인임영화 끝난뒤 관객.반응 매우 안좋음,,,,,,,,,,,
168,염b 여기 이 사람들 다 알바임 다 구라 하나도 안무섭고 놀란 장면이 단 하나도 없음 아무도 소리 안지름 욕나온다 ㅠ,,,,,,,,,,,
169,기대가 너무 컸음.. 생각보다 훨씬 안무서움.. 주온이 훨씬 무섭습니다... 2가 1의 과거내용이라 2를 먼저 보셔도 무방합니다.,,,,,,,,,,,
170,잠이 옵니다 왠만하면 비추,,,,,,,,,,,
171,앞자리 커플이 서로 기대면서 보더군요... 전 왜 혼자 보러간걸까요 ㅂㄷㅂㄷ,,,,,,,,,,,
172,진짜 너무 무서워요 ,,,,,,,,,,,
173,여자친구와 보러갔다가 안무서운척 안놀래는척 하면서 보고있는데 앞에사람 소리 지르는 바람에 놀래서 지려버렸습니다 조금..그냥 무섭다 말하고 맘껏 움찔 깜놀 하면서 편하게 보시길 ....,,,,,,,,,,,
174,시사회 때 보구왔는데 진짜 무섭긴해여ㅋㅋㅋ 컨저링2떡밥도 있고,,,,,,,,,,,
175,여기평점높게쓴 사람들  자기혼자 당할수없다 이건가 봅니다  너무나 유치하고 지루해서 하품만 하다나왓어요  시간과 돈이 아깝네요 내 이럴줄 알앗어 젠장,,,,,,,,,,,
176,소문듣고 기저귀 들고갔는데 사용못했습니다..별로 안 무서웠어요...,,,,,,,,,,,
177,지렷다는 샛끼들 요실금이냐 돈만날렷네 ㅅㅂ,,,,,,,,,,,
178,긴말없이 그대로 겁나 무서운영화입니다.,,,,,,,,,,,
179,기대가 너무컸다무서운거별로고 잠깐놀랜것뿐1이 더재밌는듯,,,,,,,,,,,
180,팝콘은무슨 졸뻔햇습니다.,,,,,,,,,,,
181,개속 웃으면서 봄 ㄹㅇ 하나도 안 무서움 웃느라 끝남,,,,,,,,,,,
182,뭐가 무섭다는건지.. 보는내내 한번도 안놀램 사운드만 크고..,,,,,,,,,,,
183,제가 공포영화보는눈이 너무높아서 그런지모르겟는데 별로입니다 차라리 1이 더낫네용,,,,,,,,,,,
184,무서운 장면보다 검정화면을 더 많이 봤어요ㅋㅋ 눈감고 봤거든요,,,,,,,,,,,
185,개봉하자마자 조조로 바로봤는데 음 16년동안 본 공포영화중에 빨리끝나라고 빈 영화는 이게 처음.. 엄청무섭다기보단 놀래키는게 많아서 다른의미로 심쿵 영화볼때 다쫄아서인지 소리도 안지르고 조용히 친구랑 안고 봤음 팝콘...,,,,,,,,,,,
186,아주 그냥 지려버렸다.,,,,,,,,,,,
187,심장이 쫄깃쫄깃하게 주물러지는 느낌이네요ㅋ,,,,,,,,,,,
188,무서워서 1점 이거 보지마세요 지렷어요,,,,,,,,,,,
189,무조건 조조로 보세요. 점심이나 저녁은 개노답 민폐 커플들이랑 급식들이 와서 떠듬. 특히 아무것도 안나왔는데 무섭다고 떠들고 소리지르고 개 진상들ㅉㅉ,,,,,,,,,,,
190,수녀귀신나와서 헛간에 가두고 애나벨 입에서 피 나올때 ㄹㅇ 먹던 오징어 다던지고 울었음,,,,,,,,,,,
191,와 진짜 보는 내내 너무 무서워서 욕 하게되는 영화 ㄷㄷ애나벨 1과 연결되는 장면이 인상깊음,,,,,,,,,,,
192,핵노잼 돈아깝네요 어떻게 흘러갈지 뻔히 보이고 별루에요택시운전사나 볼껑 ㅠ,,,,,,,,,,,
193,공 나오는 총으로 인형 죽탱이 안갈겼으면 아무도 안죽고 해피엔딩으로 끝났다 ㄹㅇ 내가 인형이었어도 가만히 앉아있는데 죽탱이 얻어맞으면 야마돌아서 몰살시킴,,,,,,,,,,,
194,개무서웠어진짜;;ㅠ,,,,,,,,,,,
195,의자 4D인줄 알았네요 사람들 덕에 많이 흔들림:),,,,,,,,,,,
196,불 켜놓고 자요 ..ㅋㅋ,,,,,,,,,,,
197,심야로 보고와서 집에서 샤워하는데 머리 감으면서도 눈뜨고 있었습니다.... 잘때 이불 발가락으로 말고 잤네요.. 인시디어스1과 함께 역대급 공포영화,,,,,,,,,,,
198,네,,,,,,,,,,,
199,진짜 미쳤다 영화관에서 공포영화 처음보는데 와하..,,,,,,,,,,,
200,솔직히 댓글이랑 평점 보고 갓는데 여전히 재미없더라구요 무섭게 보여준거 3가지 여자둘이서 이불덮고 귀신나온고 엄마 몸통 반쪽 박살난거 아빠 손가락 반대로접힌거 이거만 알아도 안무서울걸,,,,,,,,,,,
201,연출 음향 전부 괜찮음. 근데 떡밥이 많던데 다음작에서 회수 잘하겠지?,,,,,,,,,,,
202,심장이 쫄깃쫄깃해집니다~ 볼만했어요ㅎㅎ,,,,,,,,,,,
203,하 ㅋㅋ ㄹㅇ 개무섭네 진짜,,,,,,,,,,,
204,진심 웃으면서 봤습니다 하 언제쯤 나를 놀라게해줄 공포영화가올까..,,,,,,,,,,,
205,컨저링보다 훨 무섭 ㄷㄷ,,,,,,,,,,,
206,기대 안하고 봐야 볼만해요,,,,,,,,,,,
207,라이트아웃 컨져링 인시디어스 통틀어서 제.일.무서워요..^^진짜 지렸습니다..! ㅋㅋ ㅋㅋ 어우 진짜 ㅋ 진짜 아휴 스트레스 빡,,,,,,,,,,,
208,누가 안무섭대...전편보다 더무서워요....아 심장이파,,,,,,,,,,,
209,시작하자마자 들어온걸 후회하게됨ㅋㅋ진정한 공포를 느끼고 왔음,,,,,,,,,,,
210,와 진짜 별기대안했는데 울면서 봤네요.,,,,,,,,,,,
211,평만믿고 봤다가 낭패네요 높은 평점 준 사람들 내돈쓴거 아까우니 니돈도 써라는  심보네요 진심 지루하고 공포영화보다 나가고싶을만큼 재미없는영화는 처음입니다 애나벨같이본 관람객들 죄다 똥씹은표정이었으니 참고하세요,,,,,,,,,,,
212,네이버 평점보고 기대하고 봤더만 컨저링,,,,,,,,,,,
