,content
305,스토리는 좋은데 주인공은 지능이 없나? 답답해 미치겠네
306,너무 스릴있고 무섭게 봤던영화 두번봤네요
307,황정민의ㅜ연기로도 구언 할수 없는 머저리 영화
308,
309,황정민은 열연했으나
310,그냥시간이 많이 아까움
311,초반에 진짜 무서웠는데 후반부 주인공에 답답한걸 떠나서 머저리 같아 짜증이 남 연출은 잘했으나 개연성이 떨어지게 보여서 아쉬움
312,황정민의 칼맞는 연기는 정말 최고인듯...  영화 자체는 개연성이 없고 너무 뻔한 클리셰의 잡탕이라 몰입감이 뚝뚝 떨어지고 설득력이 너무 부족함. 시간이 아까우니 다른 영화를 보는게 낫습니다.
313,아니 경찰을 데려가냐지 왜 혼자 가 미쳤나 진짜ㅡㅡ
314,외국 스릴러나오는 금발머리 백인 여자보다 더 답답함 ㅋㅋㅋㅋ 와 일부러 관객 답답하게 하려고 한건가?? 연출력이 초딩보다 못하네
315,원작 책을 두번 보는걸로..
316,한국 영화에서 불사신을 봤습니다.
317,유선씨가 너무 이쁘고 섹시해서 ....
318,억지전개 반전아닌 반전.
319,옥상씬이 백미임ㅋㅋㅋ 군데 군데 연출이 촌스러운 것 빼면 그럭저럭 5점짜리 정도는 되는 영화같음.
320,엄청 재밋게 봤는데 평이 안좋네요..전 추천 ㅋ
321,하.. 뭐 이런;;;;
322,와 이쓰레기 영화는 뭐지 놀랐다
323,시간아까워 황정민이 이런졸작을 찍다니
324,황정민 행동이 너무 답답하고 호구같아서 짜증났지만.. 그래도 스릴감 있었음
325,이거 공포영화 맞아요?? 코미디 아니죠? 유선이랑 황정민이랑 죽일 각오로 싸우는게 왜 웃기던지.. 특히 황정민이 소화기 집을때 유선이 “으힉!?” 이렇때는 정말이짘ㅋㅋ
326,영화의 전체적인 분위기는 좋으나 그게 전부임 나머지는 구데기 ~
327,아니 배우 황정민쓰고 캐릭터는 완전 OOO기에 이해안가는 스토리 넘치고 주인공 완전 OO인데보험사에서 일은 어떻게함? 뇌가 없는수준인데
328,배우들이 무슨 죄?? 연기땜에 그나마 6점.. 다른건 글타치고 옥상에서 소화기 도데체 왜 뿌린거임?? 그냥 내려치는것도 아니고. 남주 케릭이 정말 노답..고구마 백개
329,유선 연기 진짜..ㅋㅋ  한줄평 쓰기도 귀찬타
330,원작을 정말 못살렸다. 배우들이 연기는 참 잘했는데..
331,황정민갑갑해ㅠ 답답하네
332,카리스마 싸움신 황정민이 여자싸이코패스한테 펀치한번 못날리고 계속 도망다님 개답답... 그리고 쓸데없이 잔인하다.
333,황정민땜에 봤는데 완전 쓰레기영화잔인하긴 더럽게 자인한데 내용이 고구만 백만개먹이고 물못먹게 하는느낌이랄까!
334,짜증나서 미치는 줄 알았는데 그래도 결말은 궁금해서 다 봤다 그지같네 아주
335,아쉽긴하지만 재밌게 봤어요
336,아 보험쟁이들 짜증난다 ㅡㅡ
337,그렇게 쉣더뻑은 아닌데 볼만 하던데 잔인함도 청불 붙기 정도고 근데 소화기를 처음에 머리에 내려쳤어야지 뿌리면 어떡해 그 건 좀 아니잖아 지가 뿌리고 지가 뭐지? 이럼 어케ㅜㅜ 여튼 그래도 이끼에서도 그렇고 유선 굳...
338,공포 수준은 저한테 딱이였는데 전개는 글쎄요...
339,전체적으로 볼만했습니다.
340,"영화  ""세이예스""랑  비슷한 영화입니다.  공포영화컨셉이라서 공포의 모습 제대로 재현."
341,하... 할많하않
342,칼한번 등 그엿다고 기절하는 마누라나.남자 진짜 무슨 말이 필요없는 답답함뭐임 장난하는것도 아니고. 트라우마를싸이코패스한테 적용시키냐.
