,content
246,당시에도 CG만큼은 최고였다.영화관에서 보던 그 웅장함을 잊을 수가 없군.
247,지하실 아재는 구타 유발자
248,자식새키들만 아니었으면 평점 9점은 받을 수 있었다
249,원작소설은 못 봤지만 이 결말은 초능력 히어로나 미국 킹왕짱 식의 해결보다 훨씬 과학적
250,서양애들은 다 저렇게 지만 아나?? 말 더럽게 안들어 처먹네~~애들만 아니었음 톰크루즈는 벌써 혼자 유토피아 찾아갔다~~ㅋㅋㅋㅋ
251,평점이 너무 낮네요.
252,진짜 답답하다.. 속터질뻔..
253,애새끼들이 외계인놈들보다 더 ㅈㄹ맞음.
254,아 정말... 보는내내 답답해서 소리질렀네요. 개연성 없고 마무리 후덜덜이네요 진짜... 안본눈 사요..
255,지하실 남자 - 팀오길비 나래이션 - 모건프리먼
256,탈취하기 위해 사람들이 주인공의 차를 향해 달려들 때 극한의 공포를 느꼈다. 아
257,지금보면 겨우 단세포 생물에 패배했던 외계인이 말도 안된다라고 생각하면 미세먼지로 죽어가는 인간을 생각하면 말이됨ㅋㅋ
258,외계인한테 속수무책으로 당하는 데서 영화의 스케일이 느껴진다  CG랑 카메라워크가 지금봐도 어색하지가 않다 톰 크루즈가 끌고나가는 생존극 그리고 육아전쟁ㅜㅜ 얘들아 아빠 말 좀 듣자
259,뿜~~~소리만 들리면 긴장할 정도로 몰입한 영화....진짜 웰메이드 5번봐도 괜찮다.
260,결말이 황당하다는데 원작소설이 그렇습니다.  조지웰즈  소설에 그렇게 결말이 나게 되어 있어요.
261,인생 최고의영화중 하나
262,어릴때 무서워서 잠을 못 잤는데
263,완전 긴장하면서 봤어요 진짜 잘만든 명작이네요
264,트라이포드 뿌우웅 소리 들으면 전율이 흐른다. 첫 등장에 휘청거리며 매연을 내뿜는 모습은 엄청난 충격이었다.흐느적 거리는 세 다리. 대가리에 도도하게 세개 달린 조명. 미지의 것에서 오는 공포와 무력감.. 보는내내 ...
265,어릴 적 트라이포드의 Horn과 가동 소리가 밤새 머리속에 울려 잠을 못 이루고 악몽을 꾸게 해준 영화.
266,괴물 등장시 소리.... 효과음... 괴괴하다.
267,05년도에 개봉한 영화라고 믿겨지지않을 스케일
268,처음 봤을 때 스케일도 크고 설정도 놀라웠고
269,처음부터 끝까지 숨이 안 쉬어질 정도로 재밌던 영화 근데 로비는 어떻게 살아남은겨ㅋㅋㅋㅋ
270,마지막 전개가 급작스럽고 말도 안 된다고? 어째튼 아무리 과학이 발달해도 미지의 세계의 무서운 법이다. 의외의 요소에 위험에 노출이 될 수 있으니... 이건 인간 뿐만 아니라 외계인도 적용되는 것 같음.
271,트라이포드 소리 너무 무섭다ㅜㅜ
272,재탕만 5번 봐도 질리지 않음
273,평점이 너무 낮네....꿀잼
274,ㅣ진짜 재및다 이거 재미없다고 하는 사람 진짜 불쌍 오락영화가 이정도는 정말ㄱㅊ하지않냐?
