,content
244,인터스텔라 다음으로 재밌게 본영화
245,별 기대는 안하고 봤는데 최고네요~~
246,대단하다 상상력. 그리고 다른접근.
247,10년에  만들어진  영화SF외계생명체의  고정관념을 제대로 박살내어버림.꼭 보시길.
248,인터뷰 난잡하고 시끄러워서 짜증나다가 점점 재밌어진다.
249,최고의 sf 영화...
250,이걸 내용도 없고 재미도 없다고 1점준 댓들은 꼭 나는 관종이다. 라고 세번외쳐라.. 그게아니라면 진짜 누워서 가래침 뱉는 머가리 인증하는거니까
251,생각나서 또 봤는데 역시 또 재밌어 ㅠㅠ
252,2편 언제나오나요 ㅠ기다리고있어요
253,이거 개봉했을때 영화관 알바했었는데마감이라 상영하는 영화가 이거밖에 없길래첫차 올때까지 시간이나 때우자하고 봤다가 5번정도 더봄ㅋ
254,이영화가 10년 전 영화라니.. 다시봐도 재미있네요
255,너무 잘 만들어서 충격적인 영화
256,후속작 언제 나옴? 현기증  난단 말이에요!!
257,3년 넘엇잖아 몇년을 기다리게하는거야ㅜㅜㅜ
258,월등한 기술을 가지고도 지구를 침공하지 않는 외계인. 신선하고 긴장감 넘쳤던 좋은 영화
259,지금 다시영화관에 상영해도 대박날영화
260,2탄 제발 제발 제바아아알 이렇게 빌게 ㅜㅜ
261,9년만에 다시봄명작임
262,이거다 이런게 영화다 뭐지 ? 이런늠
263,영화가 현대사회를 사는 우리에게 주는 메세지는 난민문제
264,11.08.20.이건 SF로 치부되어야 할 영화가 아니다. 솔직히 짠하고도 끔찍한
265,처음 극장서보고 충격먹음.. 이게 저예산 영화라니.. 제인생작..
266,감정적으로 참 잔인한 영화. 서로서로 물어뜯고 냉혹한 인간의 모습이 답답했지만 결코 이질적이지 않다. '현실이라면 정말 저랬겠구나' 하는 생각에 더욱 슬프다. 3년 뒤 인간이 정복당했으면 좋겠다.
267,정말 대단한 영화... 후속작이 기다려 진다... 설마 없는 건 아니겠지?
268,말이 필요없는 
269,이건 초반에 저화질의 다큐형식이 생각보다 오래이어져서 몇번 보다가 껐던 건데오늘 첨으로 끝까지 다봤다  안봤음 후회할뻔  꼭 보세요
270,후속작이 정말 기대되는 영화
271,외계인이 아니라 현재 우리사회의 소외층에 대입된다..정말 잘 만든 수작
272,총을 쏘되 맞추지는 말 것
273,인간에서 외계인으로 된게 어찌보면 헤피엔딩일지도...
274,처음으로 평점 10점 남겨봅니다 sf좋아해서 그냥 큰 기대없이 봤는데 숨겨진 명작이었네요
275,다시 봤는데 처음 충격 그대로다 오히려 더 재밌다 디스트릭트 9이지만 10점 준다. 후속편 안 나오나 ㅠㅠ 주인공 조금 답답하다고 느꼈지만 끝이 그렇게 된 걸 어째...
276,3년뒤온다던 그들이 떠난지 9년됬습니다 9개에 별을박습니다
277,이거 2편 안나오냐..최근에봤는데 이렇게 끝나는게 맞는건줄 알고있는데 복수극에 치닫는 리벤지로 나와서 해피엔딩으로 좀 끝났으면 좋겠네..
278,보는 내내 말이 안나올 정도로 충격적인 영화였던거 같다. 단순히 외계인과 지구인의 대결구도가 아니고 신선한 주제여서 몰입하기도 좋았고 배우들의 연기력도 정말 좋았던거 같다.
279,감독이 10무조건 나온다고 말했더라 3년정도면 볼수있을듯
280,인간이 가장 추악하다.
281,언제나 우리보다 강력하고 압도적으로 진화한 외계종족을 예상해왔지만 이 영화는 그 레파토리를 뒤집는다. 그리고 인간은 구역질 날 정도로 역겹다.
282,비커스의 이기적인 행동 때문에 상처받고 배신당한 크리스토퍼가 그래도 막판에 도와줬다고 당신을 꼭 구하러 돌아오겠다고 할 때 육성으로 누가 인간이냐고 외쳤다. 크리스토퍼ㅠㅜㅜ그 선한 눈망울이 잊혀지지가 않는다. 아들이...
283,후속작이 기대되는 영화 top5
284,내 기준 인셉션 다음으로 최고영화
285,2009년도 영화라는게 믿기지 않을 정도로훌륭했다.
286,할말이없이 최고네..멋진 영화였다 진짜...
287,외계인에게 감정이입해서 보긴 처음이네요 인간은역시...
288,현실에 치중한 sf.여운이 상당하다..
289,진짜 엄청난 명작이다.
290,잘 만들어진 명품 SF액션
291,예고편이 C급 액션영화같았지 근데 직접보니까 느끼는게 많아
292,주인공의 처지가 바뀌자
293,외계인이 약속한 3년이 벌써 지났다언제 돌아 올꺼냐?!
294,외계인 아들 넘사랑스럽다
295,십점주려고 로그인함 9점이상은 받아야될영화
296,상상할 수 없는 새로운 형식의 변주잔치다.시사는 물론
297,3년동안 그는 살아남았을까. 그리고 크리스토퍼는 정말 돌아왔을까..
298,10년 영화인데 지금봐도 깔끔함. 후속이 나오려나
299,외계인영화중에 손에 꼽는 인상깊은 영화.영화관에서 보고 나와서도 몇일동안 생각남.주인공의 심정변화를 따라가며 같이 느끼게되는 영화. 2를 기다리는데 왜 안나오니ㅠㅠ
300,ㅉㅉ 들떠서 아무거나 쳐만질 때 알아봤다 그러니까 감염이 되지
