,content,,,,,,,,,,,,,,,,,,,,
201,파프롬홈 보는 내내 아이언맨 생각이 났습니다. 엔드게임에서 마지막에 했던 아임 아이언맨이 떠오르네요. 아이언맨은 이제 안 나오겠지만 영원히 기억에 남을 것입니다.,,,,,,,,,,,,,,,,,,,,
202,와.... 11년만에 오랜만에 다시 봤는데 역시 명작은 명작... i'm iron man,,,,,,,,,,,,,,,,,,,,
203,최고의 명작. 아이언맨 잊지 않겠습니다.,,,,,,,,,,,,,,,,,,,,
204,엔드게임보고 생각나서 와봄,,,,,,,,,,,,,,,,,,,,
205,I love you 3000,,,,,,,,,,,,,,,,,,,,
206,이 시절에 진짜 잘 만든 영화임.. 진짜 처음 봤을때 너무 재밌었고 눈도 즐거웠고,,,,,,,,,,,,,,,,,,,,
207,캐릭터의 매력이 스크린 밖을 뚫고 나온다. 'xxx맨' 보다 '인간' 캐릭터가 매력적인 히어로가 몇이나 있을까?,,,,,,,,,,,,,,,,,,,,
208,시작부터 레전드네 4월30일 개봉 430만,,,,,,,,,,,,,,,,,,,,
209,화려한 시작 아름다운 결말,,,,,,,,,,,,,,,,,,,,
210,개인적인 느낌으로 아이언맨 1을 넘는 마블영화는 없는거같다,,,,,,,,,,,,,,,,,,,,
211,마블 역사의 시작을 알려주는 영화,,,,,,,,,,,,,,,,,,,,
212,I am iron man!  대서사시의 시작... 마블 MCU 단독 영화 중 원 탑!,,,,,,,,,,,,,,,,,,,,
213,다시 봐도 꿀잼 사랑해 토니스타크!!!,,,,,,,,,,,,,,,,,,,,
214,그동안 고마웠어요 아이언맨,,,,,,,,,,,,,,,,,,,,
215,전설의 시작...!+,,,,,,,,,,,,,,,,,,,,
216,엔드게임 보고 난 다음에 다시 봤는데도 재미있네...,,,,,,,,,,,,,,,,,,,,
217,I am Ironman,,,,,,,,,,,,,,,,,,,,
218,아이엠아이언맨. 곱씹어 볼수록 좋다 토니 스타크. 아이언맨의 탄생.,,,,,,,,,,,,,,,,,,,,
