,content,,,,,,,,,,,,,,,,,
181,좋아하는장르라서 재밌었다,,,,,,,,,,,,,,,,,
182,재미재미존재미 캡틴아메리카 쓰리데이즈투킬 방황하는칼날보다 훨씬재밋음,,,,,,,,,,,,,,,,,
183,영화관에서 본 내 생에 최고의 영화,,,,,,,,,,,,,,,,,
184,꼭 보셔도 후회 안할 영화라고 생각합니다~,,,,,,,,,,,,,,,,,
185,이제껏 나온 판타지 액션 블록버스터와는 차원이 다르다..,,,,,,,,,,,,,,,,,
186,기분좋게,,,,,,,,,,,,,,,,,
187,과하지 않아서 더욱 좋았던 것 같다. 가볍게 보기엔 더없이 좋은 느낌,,,,,,,,,,,,,,,,,
188,스토리가 단순하지 않아서 복잡하지 않을까 했는데 전혀 그렇지도 않았구..보는 내내 액션의 묘미도 느낄 수 있었다는,,,,,,,,,,,,,,,,,
189,정말 재미있게 잘 봤어용~ 영화 쩌는거 같아용~,,,,,,,,,,,,,,,,,
190,너무 너무 재미나요 런닝타임이 두시간이 훨씬넘지만 지루한지 모르고 시간이 금방지나버릴정도로 너무 재미있었어요 저는 어제 봤는데 다음주에 한번더 볼려구요 너무 재미있어요 꼭보세요 안보면 후회합니다,,,,,,,,,,,,,,,,,
191,말이 필요없다.신선하고 너무 흥미로운 영화!!남자주인공 매력넘쳐..심장어택,,,,,,,,,,,,,,,,,
192,재미 있게 잘 봤습니다~휴일에,,,,,,,,,,,,,,,,,
193,요새 너무 공격적이신네요; 재밌게 본 사람들도 있는데 너무 공격적이셔;,,,,,,,,,,,,,,,,,
194,정말 볼만한 영화임,,,,,,,,,,,,,,,,,
195,재미있네요 추천합니다,,,,,,,,,,,,,,,,,
196,나랑 내애인은 다이버전트다 지금 여긴 기차안..지금 우린 무분파다,,,,,,,,,,,,,,,,,
197,와 긴장감 쩔ㅋㅋ괜히 막 걸릴까봐 내가 다 두근두근 거리던데..,,,,,,,,,,,,,,,,,
198,판타지물 좋아하시면 괜찮게 보실듯. 최근에 나온 판타지 원작 중에 가장 괜찮게 본 것 같아요,,,,,,,,,,,,,,,,,
199,오우~OST 좋은게 꽤 많더라구요! 연출도 멋지구 좋았어요,,,,,,,,,,,,,,,,,
200,판타지 영화라는 느낌이 제대로 들던 ㅎㅎ 다음편이 벌써 궁금해지는데요 ㅎㅎ,,,,,,,,,,,,,,,,,
201,건전하네요 ^^ㅋㅋ 볼만합니당ㅎ,,,,,,,,,,,,,,,,,
202,기대 안 하고 봤는데 재밌던 영화,,,,,,,,,,,,,,,,,
203,이정도면 잼나고 볼만험,,,,,,,,,,,,,,,,,
204,주인공이 천하무적이 아니라서 더 마음에 와닿는다,,,,,,,,,,,,,,,,,
205,기대않고 봤는데 잼나게봤다.후속작이 기대돼는영화,,,,,,,,,,,,,,,,,
206,잼있어요~~기대안하고 봤는데 몰입하면서 잘봤네요~~^^,,,,,,,,,,,,,,,,,
207,막판에 조금 무안할수있지만 그정돈 아무것도아니다정말 재밌었고 헝거게임보다 재밌게본것같다;,,,,,,,,,,,,,,,,,
208,트와일라잇 만큼은 아니지만 여성분들이 많이 좋아할거같네요.. 재밌습니다,,,,,,,,,,,,,,,,,
209,기대이상입니다. 재밌어요,,,,,,,,,,,,,,,,,
210,생각 보다 너무 재밌게 봤습니다,,,,,,,,,,,,,,,,,
211,진짜재밌어요. 지금까지 나왔던 판타지 물과는 다른 상상을 초월하네요. 신기할정도로요. 강추^^,,,,,,,,,,,,,,,,,
